Bowler,Runs Given,Wicket,overs,Economy,Average,Type
Hardik Pandya,21,0,2,10.5,35.18,All_rounder
Hardik Pandya,41,0,2,20.5,35.18,All_rounder
Hardik Pandya,26,2,4,6.5,35.18,All_rounder
Hardik Pandya,44,2,4,11,35.18,All_rounder
Hardik Pandya,31,3,4,7.75,35.18,All_rounder
Hardik Pandya,32,0,3,10.67,35.18,All_rounder
Hardik Pandya,27,0,2,13.5,35.18,All_rounder
Shivam Dube,14,1,1,14,14,All_rounder
Ravindra Jadeja,21,0,4,5.25,46.12,All_rounder
Ravindra Jadeja,15,0,2,7.5,46.12,All_rounder
Ravindra Jadeja,43,1,4,10.75,46.12,All_rounder
Ravindra Jadeja,30,0,4,7.5,46.12,All_rounder
Ravindra Jadeja,18,3,4,4.5,46.12,All_rounder
Ravindra Jadeja,37,0,4,9.25,46.12,All_rounder
Ravindra Jadeja,32,0,3,10.67,46.12,All_rounder
Ravindra Jadeja,16,0,4,4,46.12,All_rounder
Ravindra Jadeja,22,1,4,5.5,46.12,All_rounder
Ravindra Jadeja,22,0,3,7.33,46.12,All_rounder
Ravindra Jadeja,20,3,4,5,46.12,All_rounder
Ravindra Jadeja,29,0,2,14.5,46.12,All_rounder
Ravindra Jadeja,24,0,4,6,46.12,All_rounder
Ravindra Jadeja,40,0,3,13.33,46.12,All_rounder
Axar Patel,25,0,4,6.25,30.63,All_rounder
Axar Patel,21,1,4,5.25,30.63,All_rounder
Axar Patel,20,1,3,6.67,30.63,All_rounder
Axar Patel,18,0,1,18,30.63,All_rounder
Axar Patel,35,2,4,8.75,30.63,All_rounder
Axar Patel,26,0,4,6.5,30.63,All_rounder
Axar Patel,17,1,4,4.25,30.63,All_rounder
Axar Patel,29,1,4,7.25,30.63,All_rounder
Axar Patel,28,1,3,9.33,30.63,All_rounder
Axar Patel,24,0,2,12,30.63,All_rounder
Axar Patel,25,2,4,6.25,30.63,All_rounder
Axar Patel,25,1,3,8.33,30.63,All_rounder
Axar Patel,24,0,3,8,30.63,All_rounder
Axar Patel,20,1,1,20,30.63,All_rounder
